b_id,MerekDagang,JmlProduk
1,"AK STAR, ASOKA, RADJA, SO SWEET, TERATAI",32.0
2,Delifru,6.0
3,Asam Jawa,10.0
4,AZIQFOOD,1.0
5,BILGHARO KITCHEN SALAD,2.0
6,"Cendrawasih, Marison",1.0
7,Ciz Salad,2.0
8,Dapur Bu Tin Surabaya,1.0
9,DAPUR BUNSI,4.0
10,Dapur Mamafe,1.0
11,"DAPUR MAS MU
",1.0
12,Dapur VAW,1.0
13,DELTAZ FOOD & DRINK,1.0
14,DEPOT KUALI,1.0
15,DILA SALAD,1.0
16,ER'RIS,1.0
17,FROLIC,18.0
18,GangGang Minuman Rumput Laut,1.0
19,"Goldstar, 808",2.0
20,Gula Gula,1.0
21,INAYA,1.0
22,JAVANANA CHIPS,2.0
23,J'DAR,1.0
24,KEDAI ZAIN MALIK,1.0
25,Kuliner Bu Widi,2.0
26,La Fancy Foods,2.0
27,Legit,1.0
28,Satoria Agro,8.0
29,lican,1.0
30,Manisan Bligo,1.0
31,MANISE,1.0
32,Misami Kitchen,1.0
33,MoM IMA,1.0
34,Morela,1.0
35,NYAMBEE CORNER SURABAYA,1.0
36,Omah jeruk,1.0
37,PANDU,1.0
38,PAWON MBOK UCUP,2.0
39,Perkedel Mesem,2.0
40,PLYMOUTH,5.0
41,Pohong Keju Ndeso,5.0
42,"POMONA, WELCO SIGNATURE",21.0
43,PUTRA ABADI,5.0
44,Rafandra Kitchen,1.0
45,Roscoco,1.0
46,RUJAK GOBET,1.0
47,Salad Buah Azzalya,1.0
48,Salad Galnis,1.0
49,Sang Mboizz,5.0
50,SATU HERBAL,1.0
51,sawi asin mama,2.0
52,"Shirataki, DBK GN, Konnyaku Grain, Mr. Ishi, Shirataki ito Mr. ishi",16.0
53,Spesial Salad Simo,4.0
54,Sweger,1.0
55,TAJ MAHAL,8.0
56,Yussia`s_Snack,1.0
57,Gosilae,6.0
58,Abon Daging Sapi Bu Siti,2.0
59,Ayam Bakar Pak D,3.0
60,BAKSO RAMA,4.0
61,"BANG TROY, GOOD EATS, TING TONG",32.0
62,BUNAIM JAYA ABADI,3.0
63,Central,7.0
64,Dimsum Mbledos,1.0
65,Djangkep,12.0
66," Mahkota Mas, Dyana",6.0
67,"Goldstar, 808, Ngetop, Superindo 365",65.0
68,"""Dek Aara""",5.0
69,"""JERUK PECEL TULEN""",1.0
70,"""Triger""",2.0
71,"1	Tortilla Iffood's Krispi			
2	Tortilla Iffood's Lentur			
3	Tortilla Iffood's Pedas			
4	Tortilla Iffood's BlackPepper			
5	Tortilla Iffood's Gandum			
6	Tortilla Iffood's keju",6.0
72,180° Cake & Dessert,20.0
73,"2 macan
A / Alfamidi",11.0
74,"43, 89, kompas",3.0
75,88,1.0
76,ABIIBY Fppd And Drink,4.0
77,Aceh,14.0
78,ADI BAKERY,3.0
79,ADLINE,2.0
80,AFC,41.0
81,Afiyah Herbal,4.0
82,Afiyan Cake and Cookies Surabaya,4.0
83,"Goldstar, 808, Ngetop, Superindo 365, Idaho",16.0
84,Hen's Sausage,1.0
85,"KOKIN, SATO",41.0
86,AHSANUL Bakery,2.0
87,Macipi Catering,7.0
88,Pak Besar,2.0
89,Soerya 99,1.0
90,The Dapoer 31,6.0
91,"Tiga Kepala Sapi, Kapal Layar, Garuda, Mahkota Mas, 88, Dyana",10.0
92,XO Suki,6.0
93,AYAM GULING LAMBEH,8.0
94,BUTAN,1.0
95,DIMSUM E MANAN,24.0
96,I-Meal,4.0
97,KLEYA KLEYO,7.0
98,Mitra Ayam Sukses,22.0
99,PAPA BULE dan ITOYA,6.0
100,Aisyah Kitchen,4.0
101,UD jaya lancar,4.0
102,"AHFUN, JOYICE, KORUDO",60.0
103,Al Bayt,2.0
104,AL FIKRI,11.0
105,"AL HAWARY
YALAMLAM",14.0
106,Alakazam,1.0
107,AL-'AQOH SNACKS AND DRINKS,2.0
108,Aleena's Bakery,4.0
109,ALFIKA,2.0
110,AliAnbiyah Cake,1.0
111,Alief Onion's,3.0
112,ALJUNA,4.0
113,ALLIYA CAKE,1.0
114,CAMPINA,19.0
115,ALYSSA,1.0
116,Ananda Lapis dan Bolu Gulung Surabaya ,10.0
117,ANDA DONUTS,1.0
118,ANEKA CAMILAN FIFA ,1.0
119,Anggra Cake And Cookies,5.0
120,ANINA SNACK,1.0
121,Anita Cake,32.0
122,anita sari,4.0
123,ANNA BAKERY,3.0
124,Annie Cruisine,5.0
125,Aqila cake n cookies,2.0
126,Aqio Snack,1.0
127,ARBANAT,1.0
128,Arezty Kitchen,6.0
129,Aridi,2.0
130,ARISKA,7.0
131,ARIVIA,4.0
132,ARKI FAZZA,2.0
133,Campina,3.0
134,Ar-Roya,3.0
135,Endis,3.0
136,Aslan Food,3.0
137,ASMARA SPIKOE,10.0
138,ASTIN BROWNIES & COOKIES,5.0
139,ATANINA,3.0
140,Atap mangga,4.0
141,ER'RIS ,1.0
142,AU'BAKERY,1.0
143,Audrya Cookies,1.0
144,Aulia Audy Cookies,10.0
145,AUZAMIFOOD,5.0
146,Es Cokelat Candy,1.0
147,Es Puter Durian Runtoh,3.0
148,Gelato di Lenno,24.0
149,Ayam Bakar Kalasan Citycom,4.0
150,AYANA COOKIES SURABAYA,5.0
151,Aykitchen,5.0
152,Ayu Cookies,11.0
153,Ice Cream Tart Surabaya,1.0
154,Jelly Sruput,4.0
155,azello,9.0
156,Azuma No Umi ,3.0
157,KORUDO ,27.0
158,B & G BROWNIES,10.0
159,BABEBO,2.0
160,BakeOn,15.0
161,BAKERY IKHWAN,1.0
162,BAKI,4.0
163,Bakpia Ulir,7.0
164,Bakuel Cantik Sakura,1.0
165,BAKULANE MILA,1.0
166,MBOK TINI,1.0
167,Rengganis,9.0
168,Abon Ikan Lele Songo Loro,1.0
169,AMIRA 85,4.0
170,Azzalya food,1.0
171,Azzalya Frozen Food,2.0
172,Bandeng Juwana,10.0
173,Bang Zoel,10.0
174,BARBARA SNACK BOX,1.0
175,BAROKAH BAKERY,1.0
176,BAROKAH PUDING SUROBOYOO,1.0
177,Barokah Puding Suroboyoo,5.0
178,Barong Durian,17.0
179,BANDENG LESTARI,3.0
180,Bawang dan Brambang Goreng Mama Raffa,2.0
181,BEBEK GORENG DAN AYAM KAMPUNG 55 SURABAYA,3.0
182,Bebek Sumuk Yuk Lin,1.0
183,BEDA SARI,6.0
184,"Bandeng Presto ""Ning Diba""",1.0
185,BANDENG PRESTO BU TRI,1.0
186,BATAVIA 71,1.0
187,BOGAJAYA,2.0
188,DAPOER SAE,1.0
189,Bellin Bakery,29.0
190,Dapur Papada,5.0
191,Bening,7.0
192,Bentoya,140.0
193,"BERAS NAGAMAS, BERAS CUCU EMAS, BERAS BAPAK MAKMUR, BERAS 	ISTRI CANTIK, BERAS RATU TAPAK SIRING, BERAS TUGU BUAYA, BERAS UANG EMAS, BERAS JALAN EMAS, BERAS TIROSA, BERAS KATONGPUNG, BERAS CAP SIRIP HIU, BERAS JAWA PUNEL",10.0
194,Berkah 36,5.0
195,BERKAH BERSAMA,4.0
196,BERLIAN ABADI,35.0
197,Berlian Bakery ,2.0
198,BERTLEY KITCHEN,3.0
199,BIANG SAMBAL,2.0
200,D'One Food,1.0
201,Eco Premium,8.0
202,Bima Pecel,2.0
203,BINGELICIOUS,10.0
204,blue cookies,6.0
205,BM CHICKEN,2.0
206,BMEALBOX,3.0
207,B'NEIS,1.0
208,BOEKNA,4.0
209,Bolen Pisang Z-three Kitchen ,1.0
210,Bolenice,2.0
211,BOLU 'ASA AL-BAROKAH,9.0
212,Bolu Pisang Panggang Moms Kitchen ,1.0
213,Bolubulo,5.0
214,Bolugiyo,14.0
215,Bon Bon,16.0
216,Boyya,22.0
217,Bread Day,10.0
218,Brown Nice,40.0
219,Frozen Raw Shrimp (Udang Mentah Beku),1.0
220,Brownies,4.0
221,BRR BURIRI,2.0
222,BU HARTATIK,5.0
223,BU MAY,2.0
224,Bu May,6.0
225,IMOET,1.0
226,INDIE CHIPS,2.0
227,JANNATI,1.0
228,BU RISMA,3.0
229,JW/JENG WULAN,2.0
230,Bubur Madura Galnis,1.0
231,Bucik Gendut,5.0
232,Buk Tumbas,6.0
233,KERUPUK PULI BU AMINI,1.0
234,lalarise,1.0
235,BUMBU HIKMAH,33.0
236,Bumbu Pecel Barokah,2.0
237,mirza,5.0
238,BUNDA AJENG GAYATRI,5.0
239,BUNDA REZA,7.0
240,NABITHA,3.0
241,Nasi Bakar Bu Wandi,1.0
242,Niki Echo,1.0
243,NING TIN,2.0
244,Burger Up,60.0
245,NYAMLENG,1.0
246,CACA'S,2.0
247,CAHAYA COOKIES,1.0
248,Cahaya Suci,1.0
249,Cak Fen,2.0
250,Cak Gembul,3.0
251,OKB ,4.0
252,Omah Jeruk,1.0
253,OMAH PRIMA,1.0
254,Otak-otak Bandeng,1.0
255,"Otak-Otak Bandeng Soerabaja
",2.0
256,Pempek Palembang Bu Diana,3.0
257,CAMILAN QU,5.0
258,Roso Omahan,2.0
259,Sahabat Farah,2.0
260,SAHILA,2.0
261,SAMBEL MAKNYOS,7.0
262,Suki Instan,1.0
263,Takoparty Takoyaki,2.0
264,youngpack.id,1.0
265,Zaqira Food,1.0
266,Canoi,5.0
267,"Cap Bali
Putra Bali",2.0
268,Cap Gajah,26.0
269,Cap Giling,2.0
270,"Cap Padi RR, Cap RR, Cap Dua Tomat, Cap Tomato, Cap Sitrun, Cap Ceko, Cap Dua Lombok, Cap Ayam, Cap Karapan Sapi, Cap Seledri, Cap Tiga Kambing, Cap Tamarin, Cap 1313, PADI-RR",25.0
271,CARPENTIER KITCHEN,3.0
272,Cemara Kitchen,3.0
273,Cendrawasih,1.0
274,Chacha Flour Treats,10.0
275,CHEMILENIAL,2.0
276,CHIK YEN,30.0
277,Cholyn's,9.0
278,CHUBBA,2.0
279,Churros New Normal,4.0
280,Ci Bliwul,2.0
281,Cilla Catering,2.0
282,Cilla Katering,3.0
283,CINCINATI KITCHEN,5.0
284,Cip In Cip,6.0
285,CIPTO,1.0
286,Cireng Planet,1.0
287,Cita Rasa Alami,1.0
288,Citra Cake & Cookies,4.0
289,"CJ Foods, Ca-Ao",12.0
290,COMAC ; KOTAK EMAS ; PREMIUM GARAMKU,3.0
291,COOKIES,2.0
292,COOKIES BERKARAKTER,1.0
293,COOKIES BOX,117.0
294,COOKIES HOKY,1.0
295,Cookies Kingdom,28.0
296,"Cox' es Zake, Ma'reta",1.0
297,Coxes,1.0
298,Crismond,3.0
299,D' COST Seafood,155.0
300,DAAPUR KYANNA,5.0
301,Dama Food,5.0
302,Aisya Catering Wedding,106.0
303,Damn’S Kitchen,10.0
304,Dandis Bites by Diana,4.0
305,dapoer ashedap,3.0
306,Dapoer Asheeqa,7.0
307,dapoer dewi,4.0
308,DAPOER DIANI     ,3.0
309,DAPOER KERONTANG,4.0
310,DAPOER META,2.0
311,Dapoer Mumtaz,2.0
312,Dapoer Ndoro Pitoe,3.0
313,DAPOER SHASHA,6.0
314,Dapur 99,2.0
315,Dapur Ana,10.0
316,DAPUR BU NUNUK,2.0
317,Dapur Bulin,3.0
318,DAPUR BUNDA BIFA,4.0
319,dapur darna,3.0
320,Dapur D'VIN,2.0
321,dapur emak,1.0
322,Dapur Enny,10.0
323,DAPUR ENNY,5.0
324,"Dapur FaFa
",1.0
325,Dapur Flamboyan,5.0
326,DAPUR GALNIS,3.0
327,Dapur Garasi Dewa,2.0
328,DAPUR IBU 51,1.0
329,DAPUR KARTIKA,5.0
330,Dapur Kesuma,3.0
331,Dapur K'risma,13.0
332,dapur kutei,3.0
333,DAPUR MA'E,4.0
334,Dapur Mak Razka,2.0
335,DAPUR MAKDA,10.0
336,Dapur Mama Al,1.0
337,DAPUR MBAK DWI,4.0
338,DAPUR MEDINA,1.0
339,DAPUR MUMTAZ,1.0
340,Dapur Nala,4.0
341,Dapur Oemahan,1.0
342,Dapur Omi,1.0
343,Dapur Podomoro,2.0
344,dapur rabbany,2.0
345,DAPUR RUTIA,1.0
346,DAPUR SASYI,10.0
347,DAPUR SHAFIRA,1.0
348,Dapur Vie Surabaya,10.0
349,Dapur Virra,3.0
350,Dapur Zaskia,5.0
351,Dapur Zhev,4.0
352,Catering Aqiqah Mandiri,13.0
353,Ketring,10.0
354,Dede Satoe,5.0
355,Dee_Kitchens,5.0
356,DELICIOPASTA,9.0
357,Taste and Taste Catering,41.0
358,DELINA,1.0
359,"DELISH CHEWS,CO",3.0
360,Delisha,5.0
361,Deman Kitchen,3.0
362,Denny's bakery,2.0
363,"DENONIQ BY DE NONA
",10.0
364,DESICCATED COCONUT,1.0
365,DEY CAKES,1.0
366,D'Gritz,4.0
367,AAA,2.0
368,DIMSUM MASAKAN IBU,1.0
369,Cakzin,9.0
370,Diva Cookies,5.0
371,DJAJANZ OMAH,3.0
372,CANOI,3.0
373,"Christine spiku, christine spiku, anugerah, victory",2.0
374,Djoeragan,17.0
375,D'Natural,1.0
376,DNfood,7.0
377,D'Nining,1.0
378,Donat Dapur Adiza,1.0
379,DONAT HAPPY MANTUL,1.0
380,Donat Mieku,7.0
381,Dapur Kartika,2.0
382,DOUBLE A,8.0
383,Doyan Somay,9.0
384,D'PANDAN WANGI SUROBOYO,1.0
385,"Erwin frozen 
",3.0
