c_id,NoDaftar,TglDaftar,NoSert,TglSert,TglValid
1,35-2-0820-1039,"26 August, 2020, 00:00",ID35210000047590820,"19 November, 2020, 00:00","19 November, 2024, 00:00"
2,35-2-1120-1207,"19 November, 2020, 00:00",ID35220000094131120,"8 July, 2021, 00:00","8 July, 2025, 00:00"
3,35-2-1120-1613,"16 November, 2020, 00:00",ID35110000077191120,"4 March, 2021, 00:00","4 March, 2025, 00:00"
4,SH2022-1-003066,"10 March, 2022, 00:00",ID00410000264420322,"23 June, 2022, 00:00","23 June, 2026, 00:00"
5,SH2022-1-000284,"8 January, 2022, 00:00",ID35110000395330122,"21 June, 2022, 00:00","21 June, 2026, 00:00"
6,35-1-0320-1121,"19 March, 2020, 00:00",ID35110000034080320,"15 October, 2020, 00:00","15 October, 2024, 00:00"
7,35-3-0221-1020A,"10 February, 2021, 00:00",ID35310000174651221,"20 September, 2021, 00:00","20 September, 2025, 00:00"
8,SH2022-1-041373,"31 August, 2022, 00:00",ID35110000604190822,"28 October, 2022, 00:00","28 October, 2026, 00:00"
9,SH2022-1-079426,"19 October, 2022, 00:00",ID35110000870541022,"13 December, 2022, 00:00","13 December, 2026, 00:00"
10,SH2022-1-036190,"29 July, 2022, 00:00",ID35110000495010722,"24 October, 2022, 00:00","24 October, 2026, 00:00"
11,SH2022-1-085826,"28 October, 2022, 00:00",ID35110001299291022,"19 December, 2022, 00:00","19 December, 2026, 00:00"
12,SH2022-1-078929,"19 October, 2022, 00:00",ID35110000805361022,"13 December, 2022, 00:00","13 December, 2026, 00:00"
13,SH2022-1-054516,"17 September, 2022, 00:00",ID35110000563510922,"11 November, 2022, 00:00","11 November, 2026, 00:00"
14,SH2022-1-129836,"2 December, 2022, 00:00",ID35110001225501222,"28 December, 2022, 00:00","28 December, 2026, 00:00"
15,SH2022-1-097733,"7 November, 2022, 00:00",ID35110001124541122,"27 December, 2022, 00:00","27 December, 2026, 00:00"
