f_id,NamaProduk,m_id,b_id,p_id,c_id
1,Baby Burger,1,,1,1.0
2, Bigmac / Reguler,1,,1,1.0
3, Burger,1,,1,1.0
4, Burger Biru,1,,1,1.0
5, Burger Coklat,1,,1,1.0
6, Burger Hitam,1,,1,1.0
7, Burger Hjau,1,,1,1.0
8, Burger Kuning,1,,1,1.0
9, Burger KW 2,1,,1,1.0
10, Burger Merah,1,,1,1.0
11, Burger Onion,1,,1,1.0
12, Burger Ungu,1,,1,1.0
13, Cone Pizza,1,,1,1.0
14, French Bread,1,,1,1.0
15, Long Burger,1,,1,1.0
16, Long Burger Biru,1,,1,1.0
17, Long Burger Coklat,1,,1,1.0
18, Long Burger Hijau,1,,1,1.0
19, Long Burger Hitam,1,,1,1.0
20, Long Burger Kuning,1,,1,1.0
21, Long Burger KW 2,1,,1,1.0
22, Long Burger Merah,1,,1,1.0
23, Long Burger Ungu,1,,1,1.0
24, Long John,1,,1,1.0
25, Long John Hijau,1,,1,1.0
26, Pizza Malta 1,1,,1,1.0
27, Pizza Malta 1 Hitam,1,,1,1.0
28, Pizza Malta 2,1,,1,1.0
29, Pizza Malta 2 Hitam,1,,1,1.0
30, Pizza Malta Biru,1,,1,1.0
31, Pizza Malta Coklat,1,,1,1.0
32, Pizza Malta Hijau,1,,1,1.0
33, Pizza Malta Kuning,1,,1,1.0
34, Pizza Malta Merah,1,,1,1.0
35, Pizza Malta Ungu,1,,1,1.0
36, Roti Maryam,1,,1,1.0
37, Submarine,1,,1,1.0
38, Tawar,1,,1,1.0
39, Tawar Malta,1,,1,1.0
40, Tawar Sixsak,1,,1,1.0
41,Tortilla biru,1,,1,1.0
42, Tortilla Coklat,1,,1,1.0
43, Tortilla Gandum,1,,1,1.0
44, Tortilla Hijau,1,,1,1.0
45, Tortilla Hitam,1,,1,1.0
46, Tortilla Kuning,1,,1,1.0
47, Tortilla Merah,1,,1,1.0
48, Tortilla Ori,1,,1,1.0
49, Tortilla Ungu,1,,1,1.0
50,Kacang Bawang Cap Deli Snack,2,,2,2.0
51,Keripik Kentang Cap Deli Snack,2,,2,2.0
52,Keripik Pisang Bulat Cap Deli Snack,2,,2,2.0
53,Keripik Pisang Sale Cap Deli Snack,2,,2,2.0
54,Keripik Singkong Asin Cap Deli Snack,2,,2,2.0
55,Keripik Singkong Balado Cap Deli Snack,2,,2,2.0
56,Keripik Singkong Manis Cap Deli Snack,2,,2,2.0
57,Keripik Talas Cap Deli Snack,2,,2,2.0
58,Kerupuk Kentang Rasa Balado Cap Deli Snack,2,,2,2.0
59,Kerupuk Kentang Rasa Sapi Panggang  Cap Deli Snack,2,,2,2.0
60,Kerupuk Stik Pedas Balado  Cap Deli Snack,2,,2,2.0
61,Makaroni Goreng Balado  Cap Deli Snack,2,,2,2.0
62,Makaroni Goreng Original  Cap Deli Snack,2,,2,2.0
63,Makaroni Sepat Goreng Balado Cap Deli Snack,2,,2,2.0
64,Makaroni Sepat Goreng Sapi Panggang Cap Deli Snack,2,,2,2.0
