id1,foodproduct1,id2,foodproduct2,similarity
1388,""" Oyako Don""",139,"""Asam Jawa Cap Kapal Layar""",0.7189409732818604
139,"""Asam Jawa Cap Kapal Layar""",1388,""" Oyako Don""",0.7189409732818604
6284,"""Kue Semprit                                                                                                                                                                        """,7601,"""MERICA BUBUK   \""TAJ MAHAL\""""",0.7152554988861084
7601,"""MERICA BUBUK   \""TAJ MAHAL\""""",6284,"""Kue Semprit                                                                                                                                                                        """,0.7152554988861084
6464,"""ARABIKANE""",1100,"""KORUDO ES STIK RASA BUAH NANAS, STROBERRI, MELON DAN SUSU (TUTTY FRUITY)""",0.7121434211730957
1100,"""KORUDO ES STIK RASA BUAH NANAS, STROBERRI, MELON DAN SUSU (TUTTY FRUITY)""",6464,"""ARABIKANE""",0.7121434211730957
2906,""" Gule Kambing""",6050,"""Juice Strawberry""",0.7093510031700134
6050,"""Juice Strawberry""",2906,""" Gule Kambing""",0.7093510031700134
3500,"""Aneka Roti""",3453,"""EMR KALDU AYAM DS""",0.7079786062240601
3453,"""EMR KALDU AYAM DS""",3500,"""Aneka Roti""",0.7079786062240601
1359,""" Kakigoori Ichigo""",3959,"""Neo Tepan Resto""",0.7071621417999268
3959,"""Neo Tepan Resto""",1359,""" Kakigoori Ichigo""",0.7071621417999268
2330,""" Kue Kering Dengan Kopi / Mocha Cream""",3156,"""Dimsum Kekinian Saos Mayonaise """,0.7068953514099121
3156,"""Dimsum Kekinian Saos Mayonaise """,2330,""" Kue Kering Dengan Kopi / Mocha Cream""",0.7068953514099121
2526,"""AYAM CABE IJO """,6007,"""Haitea Sari Kurma""",0.7064911127090454
6007,"""Haitea Sari Kurma""",2526,"""AYAM CABE IJO """,0.7064911127090454
6227,"""Hazelnut Latte No Sugar KOFFIKU""",8540,"""Nasi Rames “Zigmaqu” """,0.7060543298721313
8540,"""Nasi Rames “Zigmaqu” """,6227,"""Hazelnut Latte No Sugar KOFFIKU""",0.7060543298721313
1225,"""Brownies Tipis Kering """,803,"""Bumbu Pecel""",0.7053733468055725
803,"""Bumbu Pecel""",1225,"""Brownies Tipis Kering """,0.7053733468055725
3818,"""Brownies Choco Chip""",4524,"""Dori Goreng Tepung""",0.7036068439483643
4524,"""Dori Goreng Tepung""",3818,"""Brownies Choco Chip""",0.7036068439483643
5438,""" Roti Choco Mania""",7207,"""jus durian""",0.7011846899986267
7207,"""jus durian""",5438,""" Roti Choco Mania""",0.7011846899986267
3160,"""Dimsum Hotplate Mozzarela Saus Blackpepper""",955,"""Donat""",0.7005618214607239
955,"""Donat""",3160,"""Dimsum Hotplate Mozzarela Saus Blackpepper""",0.7005618214607239
4646,""" Kerupuk Bawang Putih Joged""",4891,"""Kuta koro garlic """,0.6996923685073853
4891,"""Kuta koro garlic """,4646,""" Kerupuk Bawang Putih Joged""",0.6996923685073853
1035,"""Gelato di Lenno Pistachio Sugar Free """,2560,"""Tape Struddle""",0.6992789506912231
2560,"""Tape Struddle""",1035,"""Gelato di Lenno Pistachio Sugar Free """,0.6992789506912231
8215,"""Almond American Brownies (Valore)""",455,"""Sosis Rasa Nusantara Soto \""Ngetop\""""",0.6991544365882874
455,"""Sosis Rasa Nusantara Soto \""Ngetop\""""",8215,"""Almond American Brownies (Valore)""",0.6991544365882874
3580,""" Kue Ikan Bentuk Kelinci (Rabbit) ''FristGradeGo''""",5453,""" Roti Pisang Coklat""",0.6981461048126221
5453,""" Roti Pisang Coklat""",3580,""" Kue Ikan Bentuk Kelinci (Rabbit) ''FristGradeGo''""",0.6981461048126221
2347,""" Kue Kering Domino Pandan""",72,""" Pastel""",0.6978263258934021
72,""" Pastel""",2347,""" Kue Kering Domino Pandan""",0.6978263258934021
7540,"""BUMBU MASAK RAWON SURABAYA \""MAMA QTA\""""",6725,"""Cilok                                                                                                                                      """,0.697541356086731
6725,"""Cilok                                                                                                                                      """,7540,"""BUMBU MASAK RAWON SURABAYA \""MAMA QTA\""""",0.697541356086731
3954,"""PUDING BERKARAKTER""",143,"""Salad Buah 200 mL""",0.6963604688644409
143,"""Salad Buah 200 mL""",3954,"""PUDING BERKARAKTER""",0.6963604688644409
670,"""Butan Fried Chicken""",962,"""Campina - Banana Split (Es Krim Rasa Pisang, Cokelat, dan Vanilla dengan Saus Strawberry)""",0.6960543394088745
962,"""Campina - Banana Split (Es Krim Rasa Pisang, Cokelat, dan Vanilla dengan Saus Strawberry)""",670,"""Butan Fried Chicken""",0.6960543394088745
4574,"""KDS Popcorn Rasa  Cherry Manis""",4105,"""Roti John""",0.6960374712944031
4105,"""Roti John""",4574,"""KDS Popcorn Rasa  Cherry Manis""",0.6960374712944031
647,"""Abon Sapi Cap Bintang Sapi""",864,"""Australian Fruit Bucket of Berries Raspberry""",0.6959697604179382
864,"""Australian Fruit Bucket of Berries Raspberry""",647,"""Abon Sapi Cap Bintang Sapi""",0.6959697604179382
2346,""" Kue kering Salted Caramel Almond""",362,"""Ayam Bumbu Betutu \""Djangkep\""""",0.6957786083221436
362,"""Ayam Bumbu Betutu \""Djangkep\""""",2346,""" Kue kering Salted Caramel Almond""",0.6957786083221436
6555,"""Dark Choco Rio Orlando Sweetza""",4373,"""Snack Jagung Nangka""",0.6955353617668152
4373,"""Snack Jagung Nangka""",6555,"""Dark Choco Rio Orlando Sweetza""",0.6955353617668152
1122,""" Bakpia Ulir Rasa Coklat""",4788,"""Kivre Biskuit Pai (Lovii French Palmier Pastry) """,0.695379912853241
4788,"""Kivre Biskuit Pai (Lovii French Palmier Pastry) """,1122,""" Bakpia Ulir Rasa Coklat""",0.695379912853241
42,""" Tortilla Coklat""",2646,"""Risoles""",0.6951344013214111
2646,"""Risoles""",42,""" Tortilla Coklat""",0.6951344013214111
5975,"""Chocolate Chip Cookies \""Mintago\""""",165,"""FROLIC Chunky Peanut Butter with Honey""",0.6947006583213806
165,"""FROLIC Chunky Peanut Butter with Honey""",5975,"""Chocolate Chip Cookies \""Mintago\""""",0.6947006583213806
7074,""" Sambel Bu Rini - Sambel Bawang""",6447,"""Ntabs Bumbu Rendang""",0.6946209073066711
6447,"""Ntabs Bumbu Rendang""",7074,""" Sambel Bu Rini - Sambel Bawang""",0.6946209073066711
595,""" KONSERVEN Ayam Bumbu Bali""",5475,""" Slice English Fruit Cake""",0.694542646408081
5475,""" Slice English Fruit Cake""",595,""" KONSERVEN Ayam Bumbu Bali""",0.694542646408081
1121,"""Bakpia Ulir Rasa Keju""",4010,"""Basic Ramen""",0.6943333745002747
4010,"""Basic Ramen""",1121,"""Bakpia Ulir Rasa Keju""",0.6943333745002747
1352,""" Gelato Snickers""",3715,"""Pempek Lenjer Isi Sosis \""Tjek Entis\""""",0.6942734718322754
3715,"""Pempek Lenjer Isi Sosis \""Tjek Entis\""""",1352,""" Gelato Snickers""",0.6942734718322754
1894,"""Campina - Strawberry (Es Krim Rasa Vanila) - Kemasan 5L, 8L""",1677,"""Kue Lumpur Merk Bu Hartatik""",0.6941706538200378
