id1,FoodProduct1,id2,FoodProduct2,similarity
3308,"""	Biscoff Cake EIGHT FOUR MORE""",3311,"""	Brownies Mix (Aneka Topping) EIGHT FOUR MORE""",1.0
3308,"""	Biscoff Cake EIGHT FOUR MORE""",3313,"""	Cocoa Mood Cake EIGHT FOUR MORE""",1.0
3308,"""	Biscoff Cake EIGHT FOUR MORE""",3310,"""Cake In Box EIGHT FOUR MORE""",1.0
3308,"""	Biscoff Cake EIGHT FOUR MORE""",3309,"""Cup Cake EIGHT FOUR MORE""",1.0
3308,"""	Biscoff Cake EIGHT FOUR MORE""",3312,"""Tiramisu Cake EIGHT FOUR MORE""",1.0
3311,"""	Brownies Mix (Aneka Topping) EIGHT FOUR MORE""",3308,"""	Biscoff Cake EIGHT FOUR MORE""",1.0
3311,"""	Brownies Mix (Aneka Topping) EIGHT FOUR MORE""",3313,"""	Cocoa Mood Cake EIGHT FOUR MORE""",1.0
3311,"""	Brownies Mix (Aneka Topping) EIGHT FOUR MORE""",3310,"""Cake In Box EIGHT FOUR MORE""",1.0
3311,"""	Brownies Mix (Aneka Topping) EIGHT FOUR MORE""",3309,"""Cup Cake EIGHT FOUR MORE""",1.0
3311,"""	Brownies Mix (Aneka Topping) EIGHT FOUR MORE""",3312,"""Tiramisu Cake EIGHT FOUR MORE""",1.0
3313,"""	Cocoa Mood Cake EIGHT FOUR MORE""",3308,"""	Biscoff Cake EIGHT FOUR MORE""",1.0
3313,"""	Cocoa Mood Cake EIGHT FOUR MORE""",3311,"""	Brownies Mix (Aneka Topping) EIGHT FOUR MORE""",1.0
3313,"""	Cocoa Mood Cake EIGHT FOUR MORE""",3310,"""Cake In Box EIGHT FOUR MORE""",1.0
3313,"""	Cocoa Mood Cake EIGHT FOUR MORE""",3309,"""Cup Cake EIGHT FOUR MORE""",1.0
3313,"""	Cocoa Mood Cake EIGHT FOUR MORE""",3312,"""Tiramisu Cake EIGHT FOUR MORE""",1.0
3314,"""	Kids Cake EIGHT FOUR MORE""",3308,"""	Biscoff Cake EIGHT FOUR MORE""",1.0
3314,"""	Kids Cake EIGHT FOUR MORE""",3311,"""	Brownies Mix (Aneka Topping) EIGHT FOUR MORE""",1.0
3314,"""	Kids Cake EIGHT FOUR MORE""",3310,"""Cake In Box EIGHT FOUR MORE""",1.0
3314,"""	Kids Cake EIGHT FOUR MORE""",3309,"""Cup Cake EIGHT FOUR MORE""",1.0
3314,"""	Kids Cake EIGHT FOUR MORE""",3312,"""Tiramisu Cake EIGHT FOUR MORE""",1.0
3320,"""	Kue Jadoel Moka Meses EIGHT FOUR MORE""",3308,"""	Biscoff Cake EIGHT FOUR MORE""",1.0
3320,"""	Kue Jadoel Moka Meses EIGHT FOUR MORE""",3311,"""	Brownies Mix (Aneka Topping) EIGHT FOUR MORE""",1.0
3320,"""	Kue Jadoel Moka Meses EIGHT FOUR MORE""",3310,"""Cake In Box EIGHT FOUR MORE""",1.0
